dominio,anio,cantidad,total_denuncias,porcentaje_inseguridad,poblacion_total_2020,tasa_denuncias_por_100k_inseguridad
PASCO,2023,3667,6225,58.90763052208835,294380,1245.6688633738704
PIURA,2019,50667,60057,84.36485338928019,2069446,2448.3364146732993
PIURA,2020,30204,35662,84.69519376367002,2069446,1459.521050561358
PIURA,2021,44297,53412,82.93454654384782,2069446,2140.524565511736
PIURA,2022,46576,57381,81.16972517035256,2069446,2250.6506572290364
PIURA,2023,50944,63490,80.23940778075287,2069446,2461.721639511251
PUNO,2019,27951,33680,82.98990498812351,1279290,2184.8838027343295
PUNO,2020,15463,17930,86.2409369771333,1279290,1208.7173353969781
PUNO,2021,23554,28646,82.22439433079663,1279290,1841.1775281601515
PUNO,2022,20338,26202,77.62002900541944,1279290,1589.7880855787193
PUNO,2023,18071,23957,75.43098050674124,1279290,1412.5804156993331
SAN MARTIN,2019,8326,10884,76.4976111723631,965432,862.4118529321588
SAN MARTIN,2020,6988,8970,77.90412486064659,965432,723.8210459151965
SAN MARTIN,2021,9307,11994,77.59713189928299,965432,964.0243952966133
SAN MARTIN,2022,11935,15782,75.62412875427702,965432,1236.2341418142344
SAN MARTIN,2023,22604,29232,77.32621784345922,965432,2341.335277885962
TACNA,2019,12671,16581,76.41879259393282,379400,3339.7469688982605
TACNA,2020,7339,9041,81.17464882203296,379400,1934.3700579862941
TACNA,2021,11876,15147,78.40496467947449,379400,3130.2055877701637
TACNA,2022,11897,15695,75.80121057661677,379400,3135.7406431207173
TACNA,2023,12593,16934,74.36518247313097,379400,3319.1881918819186
TUMBES,2019,9145,12090,75.64102564102564,248097,3686.0582755938203
TUMBES,2020,5814,7503,77.4890043982407,248097,2343.438251974026
TUMBES,2021,6862,9384,73.12446717817562,248097,2765.8536781984462
TUMBES,2022,7676,10230,75.03421309872923,248097,3093.951156201002
TUMBES,2023,7677,10550,72.76777251184834,248097,3094.3542243557963
UCAYALI,2019,20391,24748,82.39453693227735,632861,3222.0345383899466
UCAYALI,2020,10547,12865,81.98212203653324,632861,1666.5586914030093
UCAYALI,2021,9151,12772,71.64891951143126,632861,1445.9731283804817
UCAYALI,2022,12347,16390,75.33251982916413,632861,1950.9813371340626
UCAYALI,2023,18762,24864,75.45849420849422,632861,2964.6320440033437
