dominio,anio,cantidad_personas,total_encuestados,imc_promedio,perimetro_abdominal_promedio,presion_sistolica_promedio,presion_diastolica_promedio,porcentaje_obesidad_hipertension,poblacion_total_2020,tasa_union_por_100k
AYACUCHO,2019,96,1466,36.43079529187265,110.56759209344115,144.46082659478887,87.48035714285713,0.9354901578639642,690053,13.911974877292034
AYACUCHO,2020,58,1448,37.551186145652416,109.96354166666667,136.61458333333334,81.29166666666667,0.6675874769797421,690053,8.405151488363938
AYACUCHO,2021,99,1418,35.23946438415435,109.60199155011655,153.67436625874126,86.01491113053613,1.16361071932299,690053,14.346724092207412
AYACUCHO,2022,114,1433,37.96898262523996,114.10256785564161,134.163536600012,87.56140034828559,1.3258897418004187,690053,16.52047016678429
AYACUCHO,2023,126,1453,35.94541263002869,109.41505314009662,127.56777777777776,86.60584541062802,1.734342739160358,690053,18.259467026445797
CAJAMARCA,2019,59,1310,33.867756754591326,106.13717261904762,151.99747023809522,84.6889880952381,0.9007633587786259,1603521,3.679403013742882
CAJAMARCA,2020,65,1301,33.670790014600236,108.84346405228757,160.1955882352941,90.79926470588235,0.8326928004099411,1603521,4.0535795914116495
CAJAMARCA,2021,85,1258,36.633069206649225,111.74340384615385,151.61,90.29147435897436,0.8445945945945945,1603521,5.300834850307543
CAJAMARCA,2022,102,1279,35.80354266176868,108.38894126341495,148.78321444637234,94.56592121328963,1.1392829219256115,1603521,6.361001820369051
CAJAMARCA,2023,106,1247,36.53459734823225,110.18433106575965,145.3738095238095,90.74229024943311,1.214342994615649,1603521,6.610452872148229
CALLAO,2019,130,1242,38.05476836101892,114.83905984243124,155.51002956419885,87.24904628381631,1.3083735909822867,1147951,11.324525175726142
CALLAO,2020,163,1212,36.61168732351183,111.84117410714286,150.06998579545456,88.80329342532468,1.681105610561056,1147951,14.199212335718162
CALLAO,2021,208,1241,37.48677032247325,115.05581594603653,152.63432629462042,93.92257965686275,2.09508460918614,1147951,18.119240281161826
CALLAO,2022,214,1247,37.2774904798894,114.48920577059032,149.52243931329363,95.710886372597,2.1451483560545306,1147951,18.641910673887647
CALLAO,2023,127,1227,36.43890757539759,110.71566220238095,153.3719246031746,85.85814732142858,1.2938060309698451,1147951,11.06318997936323
CUSCO,2019,71,1208,36.06691540468089,111.89945887445887,151.31168831168833,85.42965367965368,0.8396404919583728,1460963,4.8598082223848245
CUSCO,2020,54,1198,37.340725367170556,107.81822649572649,136.43675213675215,87.4861111111111,0.7512520868113522,1460963,3.696192169137754
CUSCO,2021,83,1193,37.09035484904734,114.59195526695525,140.87252628324057,88.16764584621728,0.9938929469524608,1460963,5.681184259970991
CUSCO,2022,80,1154,36.184107097598364,113.15804249235927,143.37635561470967,89.70346544414868,0.9903441445902451,1460963,5.47584025057445
CUSCO,2023,84,1180,35.948531029991805,109.3479438285292,134.8490502586844,87.39281719635377,1.4237288135593222,1460963,5.749632263103172
HUANCAVELICA,2019,38,1345,33.85641491303952,107.00548076923079,153.78381410256412,88.49166666666666,0.5650557620817844,435152,8.73258079935287
HUANCAVELICA,2020,37,1335,36.69265824869999,112.50315018315018,158.30054945054945,82.99285714285715,0.39593365436062067,435152,8.502776041475164
HUANCAVELICA,2021,47,1307,35.400070411690855,109.42677192982455,134.64675438596493,84.60070175438597,0.7192042846212701,435152,10.800823620252233
HUANCAVELICA,2022,48,1297,36.83072563509754,112.56332417582416,137.1959706959707,85.81936813186813,0.6168080185042405,435152,11.030628378129942
HUANCAVELICA,2023,53,1326,35.015729809084775,111.7892565359477,154.76736111111111,89.84946895424837,0.6661639014580192,435152,12.179652167518476
HUANUCO,2019,74,1423,35.64033875005041,112.07549603174603,149.76599702380952,88.55059523809524,0.6500351370344343,865820,8.546811115474348
HUANUCO,2020,55,1418,37.13046985754311,110.89901819923371,138.75742337164752,84.44612068965517,0.6464503996238834,865820,6.352359612852557
HUANUCO,2021,98,1367,38.43361638362281,115.63359431003585,155.79941196236558,94.1059811827957,0.8961228968544258,865820,11.318749855628191
HUANUCO,2022,93,1365,35.7579166988549,109.93841452289729,140.15024630541873,90.75296478744754,1.1355311355311355,865820,10.74126261809614
HUANUCO,2023,100,1422,37.97077064652787,113.21107606679035,145.63497217068647,85.9332560296846,1.0046212577858147,865820,11.549744750641011
ICA,2019,186,1277,36.60277262626869,111.64463712088713,151.47057927013284,87.76141630963059,1.8206734534064213,938259,19.823950529651196
ICA,2020,125,1253,36.727924437991575,113.69265190727148,151.93406502917372,86.7929724261246,1.2470071827613727,938259,13.322547398959136
